Project_name,Tool_name,CWE_ID,Number of Findings,Is_In_CWE_Top_25
agno,codeql,CWE-020,9,No
agno,codeql,CWE-022,4,No
agno,codeql,CWE-023,4,No
agno,codeql,CWE-036,4,No
agno,codeql,CWE-073,4,No
agno,codeql,CWE-094,1,No
agno,codeql,CWE-095,1,No
agno,codeql,CWE-099,4,No
agno,codeql,CWE-116,1,No
agno,codeql,CWE-117,8,No
agno,codeql,CWE-209,3,No
agno,codeql,CWE-295,1,No
agno,codeql,CWE-312,18,No
agno,codeql,CWE-315,2,No
agno,codeql,CWE-359,18,No
agno,codeql,CWE-390,18,No
agno,codeql,CWE-497,3,No
agno,codeql,CWE-532,16,No
agno,codeql,CWE-561,38,No
agno,codeql,CWE-563,41,No
agno,codeql,CWE-570,2,No
agno,codeql,CWE-571,2,No
agno,codeql,CWE-584,2,No
agno,codeql,CWE-628,9,No
agno,codeql,CWE-665,7,No
agno,codeql,CWE-772,2,No
agno,semgrep,CWE-295,1,No
agno,semgrep,CWE-319,1,No
agno,semgrep,CWE-502,2,Yes
agno,semgrep,CWE-522,3,No
agno,semgrep,CWE-706,1,No
agno,semgrep,CWE-78,7,Yes
agno,semgrep,CWE-798,3,Yes
agno,semgrep,CWE-89,26,Yes
agno,semgrep,CWE-939,1,No
agno,semgrep,CWE-95,4,No
agno,snyk,CWE-295,1,No
agno,snyk,CWE-346,1,No
agno,snyk,CWE-547,131,No
agno,snyk,CWE-611,2,No
agno,snyk,CWE-798,72,Yes
agno,snyk,CWE-89,1,Yes
agno,snyk,CWE-916,44,No
agno,snyk,CWE-942,1,No
altair,codeql,CWE-079,7,No
altair,codeql,CWE-390,4,No
altair,codeql,CWE-561,1135,No
altair,codeql,CWE-563,52,No
altair,codeql,CWE-581,1,No
altair,semgrep,CWE-353,3,No
altair,semgrep,CWE-706,3,No
altair,semgrep,CWE-79,4,Yes
altair,semgrep,CWE-939,2,No
altair,semgrep,CWE-95,2,No
altair,snyk,CWE-23,1,No
altair,snyk,CWE-79,8,Yes
androguard,codeql,CWE-020,2,No
androguard,codeql,CWE-073,2,No
androguard,codeql,CWE-078,2,No
androguard,codeql,CWE-088,2,No
androguard,codeql,CWE-390,16,No
androguard,codeql,CWE-396,1,No
androguard,codeql,CWE-561,4,No
androguard,codeql,CWE-563,23,No
androguard,codeql,CWE-685,1,No
androguard,semgrep,CWE-116,2,No
androguard,semgrep,CWE-1333,2,No
androguard,semgrep,CWE-327,1,No
androguard,semgrep,CWE-502,1,Yes
androguard,semgrep,CWE-78,1,Yes
androguard,snyk,CWE-23,1,No
androguard,snyk,CWE-611,9,No
androguard,snyk,CWE-916,9,No